BetisGreens,Μπαρτσελόνα,1-5, 2.73 , 2.31 , 3.1 ,1.46,2.25,20:06
MunichReds,Lipsia,1-0, 2.12 , 2.99 , 3.2 ,1.51,2.15,20:03
Λίβερπουλ,Σεβίλλη,1-0, 2.19 , 2.95 , 3.1 ,1.42,2.36,20:00
Ερυθρόλευκοι,Ιωάννινα,4-1, 1.89 , 3.5 , 3.25 ,1.51,2.15,19:57
Ένωση,Μονακό,2-2, 2.31 , 2.76 , 3.05 ,1.43,2.33,19:54
Fener,Μπαρτσελόνα,1-0, 2.94 , 2.17 , 3.15 ,1.46,2.25,19:51
Πόρτο,Λεβερκούζεν,1-1, 2.26 , 2.88 , 3.05 ,1.39,2.43,19:48
Μονακό,Μαρσέιγ,2-0, 2.41 , 2.67 , 3.05 ,1.39,2.43,19:45
ΚρίσταλΠάλας,VillaLions,2-0, 2.42 , 2.72 , 2.95 ,1.34,2.59,19:42
Τορίνο,Μιλάνο,1-0, 2.62 , 2.37 , 3.15 ,1.49,2.19,19:39
WolvesCity,NisCity,1-1, 2.03 , 3.15 , 3.2 ,1.49,2.19,19:33
Λίβερπουλ,Μπεσίκτας,3-2, 1.88 , 3.5 , 3.3 ,1.51,2.14,19:30
Frankfurt,Ένωση,0-1, 2.23 , 2.8 , 3.2 ,1.52,2.13,19:27
Τραμπζονσπόρ,FCBrugge,2-1, 2.43 , 2.51 , 3.2 ,1.55,2.06,19:24
Σαουθάμπτον,ΓουέστΧαμ,3-3, 2.18 , 3.05 , 3 ,1.37,2.5,19:21
RedDevils,Leeds,0-2, 2.14 , 3.15 , 2.97 ,1.34,2.62,19:18
Περιστέρι,Λαμία,1-0, 2.03 , 3.1 , 3.25 ,1.55,2.06,19:15
Λίβερπουλ,Ερυθρόλευκοι,1-0, 1.99 , 3.25 , 3.25 ,1.51,2.14,19:09
Ρόμα,Laziali,0-1, 2.27 , 2.92 , 2.96 ,1.34,2.61,19:06
Βερόνα,Νάπολι,1-1, 2.91 , 2.15 , 3.2 ,1.52,2.12,19:03
ShakhtarUnited,NisCity,1-1, 2.03 , 3.15 , 3.2 ,1.49,2.19,18:57
Real,GalataLions,1-1, 1.94 , 3.4 , 3.2 ,1.48,2.21,18:51
Χόφενχαϊμ,Monchengladbach,1-1, 2.32 , 2.81 , 3 ,1.37,2.5,18:48
Berlin,Basaksehir,1-1, 2.52 , 2.45 , 3.2 ,1.52,2.11,18:45
WolvesCity,Λυών,2-0, 2.33 , 2.8 , 2.99 ,1.37,2.51,18:36
MadridAthletes,VascoBlues,0-2, 2.21 , 3.05 , 2.92 ,1.31,2.72,18:33
Μπεσίκτας,Fener,0-1, 2.22 , 2.81 , 3.2 ,1.52,2.12,18:27
ΚρίσταλΠάλας,Έβερτον,1-0, 2.54 , 2.47 , 3.1 ,1.46,2.25,18:24
ΔικέφαλοςΒορρά,Μαρσέιγ,0-1, 2.57 , 2.5 , 3.05 ,1.4,2.41,18:21
ΚίτρινοιΛευκωσίας,Φράιμπουργκ,0-2, 2.27 , 2.7 , 3.25 ,1.56,2.05,18:18
FCBergamo,TorinoJuve,1-2, 2.74 , 2.31 , 3.1 ,1.46,2.26,18:15
ManchesterBlue,Μιλάνο,3-1, 2 , 3.25 , 3.25 ,1.51,2.15,18:12
BelgradeReds,BocaBoys,1-1, 2.6 , 2.52 , 2.95 ,1.34,2.59,18:09
MadridAthletes,Ένωση,0-1, 2.11 , 3.05 , 3.15 ,1.45,2.27,18:06
Fener,Lipsia,0-1, 2.85 , 2.25 , 3.1 ,1.43,2.33,18:03
Ναντ,NisCity,1-1, 2.48 , 2.56 , 3.05 ,1.43,2.33,18:00
Βιγιαρεάλ,Μπράγκα,2-0, 2.16 , 2.93 , 3.15 ,1.49,2.19,17:57
Ερυθρόλευκοι,Ντόρτμουντ,1-3, 2.53 , 2.43 , 3.2 ,1.52,2.13,17:54
CelticGreens,Παρί,3-0, 2.65 , 2.4 , 3.05 ,1.43,2.33,17:51
Rosenborg,Berlin,3-3, 2.27 , 2.7 , 3.25 ,1.56,2.05,17:48
Αγρίνιο,Ερυθρόλευκοι,0-1, 2.94 , 2.17 , 3.15 ,1.46,2.25,17:45
Σεβίλλη,RedDevils,2-1, 2.34 , 2.79 , 2.99 ,1.37,2.52,17:39
Παρί,Λυών,1-0, 2.05 , 3.1 , 3.25 ,1.54,2.08,17:36
NisCity,Αντβέρπ,2-0, 2.27 , 2.7 , 3.25 ,1.56,2.05,17:33
Ρόμα,Plzen,0-4, 1.98 , 3.25 , 3.25 ,1.51,2.13,17:30
CelticGreens,Μονακό,2-0, 2.26 , 2.94 , 2.97 ,1.34,2.59,17:27
ΓουέστΧαμ,Λέστερ,1-0, 2.81 , 2.23 , 3.15 ,1.49,2.18,17:21
BetisGreens,WolvesCity,0-2, 2.37 , 2.64 , 3.1 ,1.46,2.26,17:15
Rosenborg,Περιστέρι,3-1, 2.35 , 2.62 , 3.2 ,1.52,2.11,17:12
Πόρτο,Μιλάνο,2-0, 2.31 , 2.71 , 3.15 ,1.48,2.19,17:09
Real,Σεβίλλη,0-1, 2.07 , 3.2 , 3.1 ,1.41,2.37,17:06
ΚίτρινοιΛευκωσίας,Μπράγκα,2-0, 2.35 , 2.62 , 3.2 ,1.52,2.11,17:03
Τραμπζονσπόρ,Anderlecht,3-1, 2.15 , 2.89 , 3.25 ,1.55,2.06,17:00
Πράσινοι,Τρίπολη,0-1, 2.11 , 3 , 3.2 ,1.51,2.14,16:57
ΚίτρινοιΒορρά,Ένωση,2-0, 2.24 , 2.84 , 3.1 ,1.45,2.27,16:54
Partisans,Βιγιαρεάλ,2-0, 2.36 , 2.61 , 3.2 ,1.52,2.12,16:48
Μαρσέιγ,ΓουέστΧαμ,0-2, 2.1 , 3.15 , 3.05 ,1.4,2.41,16:42
Λυών,BocaBoys,4-0, 2.52 , 2.64 , 2.91 ,1.32,2.7,16:39
InterBlues,Laziali,0-1, 2.14 , 3.15 , 2.97 ,1.34,2.62,16:36
Ηράκλειο,Βόλος,1-2, 2.41 , 2.67 , 3.05 ,1.39,2.43,16:33
RiverAthletes,Μάριμπορ,2-1, 1.93 , 3.45 , 3.25 ,1.48,2.19,16:30
RedDevils,Πόρτο,1-1, 2.18 , 2.97 , 3.1 ,1.42,2.34,16:27
WolvesCity,Μάριμπορ,0-1, 2.03 , 3.15 , 3.2 ,1.49,2.19,23:00
Νίκαια,Αγρίνιο,1-2, 2.37 , 2.64 , 3.1 ,1.46,2.26,22:57
ManchesterBlue,KievWhites,0-1, 1.89 , 3.6 , 3.2 ,1.44,2.29,22:54
FeyenordReds,Αντβέρπ,2-0, 2.21 , 2.81 , 3.2 ,1.52,2.11,22:51
Rennais,Λυών,0-1, 2.37 , 2.64 , 3.1 ,1.46,2.26,22:48
Βόλος,Ιωάννινα,2-2, 2.18 , 3.05 , 3 ,1.37,2.5,22:45
Φράιμπουργκ,Frankfurt,1-0, 2.27 , 2.92 , 2.96 ,1.34,2.61,22:42
Λεβερκούζεν,Monchengladbach,2-0, 2.32 , 2.75 , 3.05 ,1.42,2.34,22:39
LisbonEagles,Μαρσέιγ,1-0, 2.28 , 3 , 2.88 ,1.29,2.81,22:36
Partisans,Berlin,1-2, 2.15 , 2.89 , 3.25 ,1.55,2.06,22:33
Περιστέρι,Ένωση,1-2, 2.44 , 2.51 , 3.2 ,1.55,2.06,22:30
Παρί,Μαρσέιγ,2-0, 2.19 , 2.9 , 3.15 ,1.47,2.21,22:24
Ghent,Φράιμπουργκ,2-0, 2.27 , 2.7 , 3.25 ,1.56,2.05,22:15
Χόφενχαϊμ,Berlin,1-3, 2.74 , 2.31 , 3.1 ,1.46,2.26,22:12
Σάλτσμπουργκ,FCBrugge,1-2, 2.23 , 2.84 , 3.1 ,1.46,2.26,22:09
Rosenborg,Κοπεγχάγη,1-3, 2.65 , 2.4 , 3.05 ,1.43,2.33,21:57
MunichReds,Ντόρτμουντ,1-1, 2.17 , 2.86 , 3.2 ,1.54,2.08,21:54
Φράιμπουργκ,Χόφενχαϊμ,0-2, 2.76 , 2.33 , 3.05 ,1.4,2.41,21:51
Ναντ,Μονακό,1-1, 2.74 , 2.31 , 3.1 ,1.46,2.26,21:39
Μιλάνο,Νάπολι,2-1, 2.47 , 2.52 , 3.15 ,1.48,2.2,21:36
Monchengladbach,Lipsia,1-2, 2.57 , 2.5 , 3.05 ,1.4,2.41,21:33
WolvesCity,Σαουθάμπτον,1-1, 2.26 , 2.88 , 3.05 ,1.39,2.43,21:27
Λυών,NisCity,1-1, 2.19 , 2.96 , 3.1 ,1.42,2.35,21:24
TorinoJuve,Ρόμα,0-4, 2.06 , 3.15 , 3.15 ,1.47,2.21,21:21
Λεβερκούζεν,Frankfurt,1-0, 2.41 , 2.67 , 3.05 ,1.39,2.43,21:09
Βιγιαρεάλ,Χόφενχαϊμ,0-1, 2.5 , 2.59 , 2.99 ,1.37,2.51,21:03
Βιγιαρεάλ,Real,1-2, 2.82 , 2.23 , 3.15 ,1.49,2.19,20:54
Plzen,Μάριμπορ,1-1, 2.21 , 2.81 , 3.2 ,1.52,2.11,20:51
Μαρσέιγ,Μονακό,0-4, 2.26 , 2.87 , 3.05 ,1.39,2.43,20:48
Ντόρτμουντ,KievWhites,1-0, 2.05 , 3.2 , 3.1 ,1.42,2.35,20:45
Σεβίλλη,Lipsia,2-1, 2.34 , 2.79 , 2.99 ,1.37,2.52,20:42
FCBergamo,Νάπολι,0-1, 2.66 , 2.39 , 3.05 ,1.43,2.33,20:36
Τραμπζονσπόρ,Μιλάνο,1-1, 2.53 , 2.44 , 3.2 ,1.52,2.12,20:33
Rosenborg,Μπράγκα,1-0, 2.35 , 2.62 , 3.2 ,1.52,2.11,20:30
